term,match,status,category,question,allowed_when,source,notes
wiring,word,inspect,connection metaphor,"Which calls, routes, imports, events, or settings connect the parts?",Literal electrical use; established framework term,claudeisms seed,Name the connection.
wired,word,inspect,connection metaphor,"What was connected, and how?",Literal electrical use; established framework term,claudeisms seed,"Name the call, route, event, or setting."
handoff,word,inspect,process shorthand,"Who gives what to whom, and when does responsibility change?",Standard operational term when the exchange is already defined,claudeisms seed,Name the artifact and responsibility.
blocker,word,inspect,status shorthand,Which unresolved fact or failed condition prevents the next action?,Team shorthand in a known workflow,claudeisms seed,Name the blocking condition.
drift,word,inspect,change metaphor,"Which values differ from which reference, by how much, and over what period?","Precise terms such as clock drift, data drift, or configuration drift",claudeisms seed,Define the reference and difference.
parity,word,inspect,comparison shorthand,Which behaviors or measurements must match?,Precise mathematical use; defined feature parity,claudeisms seed,Name the compared behaviors.
surface,word,inspect,overloaded verb,"Was it displayed, returned, discovered, reported, or made available?",Literal use; UI surface; established domain term,claudeisms seed,Choose the actual action.
surfaces,word,inspect,overloaded verb,"Does it display, return, discover, report, or expose?",Literal use; established domain term,claudeisms seed,Choose the actual action.
clean,word,inspect,unsupported evaluation,"Does this mean correct, empty, formatted, passing, safe, quiet, or unchanged?",Literal cleanliness; defined status such as a clean Git tree,claudeisms seed,Name the property.
cleanly,word,rewrite,unsupported evaluation,What exact property held without error or ambiguity?,Deliberate voice; precise mathematical use,claudeisms seed,Often removable or replaceable with the observed result.
healthy,word,inspect,unsupported evaluation,"Which check passed, at what threshold, and for how long?",Defined health-check state with documented criteria,claudeisms seed,Name the check and threshold.
decisive,word,rewrite,verdict word,What evidence supports that degree of certainty?,Deliberate narrative or argumentative voice with evidence,claudeisms seed,Show the evidence.
verdict,word,inspect,verdict word,"Who decided what, under which criteria?",Literal legal or review verdict,claudeisms seed,Name the decision and criteria.
authoritative,word,rewrite,verdict word,"Who grants authority, or what makes the source controlling?",Defined authoritative source in a domain,claudeisms seed,Name the authority or source hierarchy.
genuinely,word,rewrite,intensifier,Does the sentence change if this word is removed?,Contrast with something false or simulated when the distinction matters,claudeisms seed,Usually delete or show the fact.
genuine,word,inspect,intensifier,"What distinguishes this from false, copied, or simulated?","Authentication, provenance, or deliberate contrast",claudeisms seed,Name the test or distinction.
canonical,word,inspect,authority shorthand,"Canonical according to which specification, repository, or owner?",Mathematics; standards; explicitly defined canonical form,claudeisms seed,Name the authority.
proves,word,inspect,certainty claim,"Does the evidence establish the claim, or only support it?",Formal proof; conclusive test with stated assumptions,claudeisms seed,Match certainty to evidence.
truth,word,inspect,certainty claim,"Which fact, source, or state is being described?","Philosophical, legal, or deliberate rhetorical use",claudeisms seed,Avoid using it as a vague contrast with implementation.
verified,word,inspect,certainty claim,"Who checked what, by which method, and against which criterion?",Defined verification process already stated,claudeisms seed,Name the check.
honest,word,inspect,rhetorical reassurance,What fact or limitation is being stated directly?,Literal moral judgment; deliberate personal voice,claudeisms seed,Often a theatrical modifier.
harmless,word,inspect,risk verdict,"What cannot be affected, and how was that established?",Defined threat model with evidence,claudeisms seed,Name the actual consequence.
landed,word,inspect,status shorthand,"Was it merged, deployed, released, enabled, or delivered?",A team with an established meaning,claudeisms seed,Use the exact status.
lands,word,inspect,status shorthand,"Will it merge, deploy, release, enable, or arrive?",Literal arrival; team shorthand with one clear meaning,claudeisms seed,Use the exact status.
ship,word,inspect,status shorthand,"Does this mean merge, deploy, release, enable, sell, or deliver?",Literal transport; established team shorthand,claudeisms seed,Use the exact status.
shipped,word,inspect,status shorthand,"Was it merged, deployed, released, enabled, sold, or delivered?",Literal transport; established team shorthand,claudeisms seed,Use the exact status.
settles,word,inspect,vague result verb,"What question, value, or behavior becomes fixed?",Literal physical settling; established mathematical use,claudeisms seed,Name the resolved question or stable value.
settle,word,inspect,vague result verb,"What question, value, or behavior becomes fixed?",Literal use; deliberate voice,claudeisms seed,Name the decision or result.
kills,word,inspect,dramatic verb,"Does it stop, delete, cancel, disable, or make impossible?",Literal use; standard process-control command,claudeisms seed,Use the exact action.
wins,word,inspect,vague comparison,Which option performs better under which criterion?,Literal competition; deliberate informal voice,claudeisms seed,Name the criterion.
readiness,word,inspect,status abstraction,Which requirements are complete or incomplete?,Defined readiness review with listed criteria,claudeisms seed,List the requirements.
round-trip,phrase,inspect,technical shorthand,"Does this mean request and response, serialization cycle, network latency, or data conversion?",Precise defined technical use,claudeisms seed,State the cycle or measurement.
end-to-end,phrase,inspect,scope shorthand,Which exact start and end points are included?,Defined test or encryption scope,claudeisms seed,Name the endpoints.
fallback,word,inspect,behavior shorthand,What condition selects which alternative behavior?,Defined fallback in a specification,claudeisms seed,Name trigger and alternative.
stale,word,inspect,state shorthand,"Older than what threshold, version, or source?",Defined cache or data freshness rule,claudeisms seed,Name the age or version condition.
churn,word,inspect,change shorthand,"What changes repeatedly, how often, and at what cost?",Defined metric such as customer churn,claudeisms seed,Name the repeated change or metric.
